001, tiger, 10, 20
002, tiger, 2, 10
003, flamingo, 50, 50
004, lion, 95, 150
005, cat, 120, 250
006, leopard, 210, 290
007, flamingo, 150, 250
008, dog, 195, 150
009, zebra, 310, 220
010, monkey, 42, 110
011, rabbit, 389, 279
012, bear, 395, 250
013, elephant, 310, 100
014, wolf, 92, 90
015, rhinoceros, 68, 56
016, panda, 195, 10
017, snake, 286, 190
018, panther, 356, 200
019, rodent, 298, 90
020, moose, 4, 94
021, cheetah, 1, 20
022, giraffe, 5, 60
023, bear, 32, 56
024, elephant, 245, 30
025, lion, 398, 58
026, leopard, 220, 296
027, wolf, 54, 224
028, cat, 162, 260
029, tiger, 21, 27
030, lion, 48, 56
031, deer, 39, 29
032, rhinoceros, 35, 20
033, snake, 19, 98
034, rodent, 20, 11
035, moose, 37, 256
036, panda, 99, 110
037, snake, 105, 106
038, zebra, 129, 294
039, lion, 22, 58
040, tiger, 74, 124
041, cat, 310, 23
042, dog, 29, 16
043, leopard, 58, 65
044, bear, 39, 199
045, wolf, 329, 30
046, panda, 21, 11
047, cheetah, 15, 25
048, giraffe, 19, 10
049, rabbit, 390, 290
050, monkey, 342, 96
051, snake, 289, 279
052, lion, 295, 250
053, deer, 210, 109
054, moose, 397, 292
055, rhinoceros, 268, 156
056, elephant, 176, 19
057, bear, 128, 49
058, leopard, 351, 291
059, rhinoceros, 24, 19
060, wolf, 46, 64
061, flamingo, 5, 5
062, wolf, 32, 53
063, snake, 26, 89
064, lion, 02, 99
065, cat, 19, 219
066, leopard, 111, 99
067, flamingo, 132, 248
068, dog, 156, 168
069, zebra, 129, 209
070, monkey, 159, 78
071, rabbit, 172, 29
072, bear, 149, 149
073, elephant, 183, 183
074, wolf, 199, 199
075, rhinoceros, 173, 36
076, panda, 209, 109
077, snake, 229, 240
078, panther, 233, 268
079, rodent, 249, 39
080, moose, 201, 201
081, cheetah, 259, 220
082, giraffe, 268, 78
083, bear, 274, 32
084, elephant, 281, 281
085, lion, 269, 21
086, leopard, 254, 236
087, wolf, 298, 99
088, cat, 287, 187
089, tiger, 321, 227
090, lion, 348, 256
091, deer, 400, 229
092, rhinoceros, 335, 220
093, snake, 319, 198
094, rodent, 320, 111
095, moose, 237, 56
096, panda, 399, 198
097, snake, 329, 29
098, zebra, 403, 99
099, lion, 249, 11
100, tiger, 274, 224
